,pvalue,weighted_pvalue,log2FoldChange
Sec24d,5.80E-23,5.53E-23,1.638421177
Ifngas1,5.96E-23,4.99E-23,-5.325593491
Eefsec,8.47E-23,1.09E-22,-0.848127156
Sh3bp5,1.23E-22,7.60E-23,-2.31056661
Nrp1,1.25E-22,1.45E-22,2.929350251
Satb1,1.57E-22,9.68E-23,-2.932194205
Tnfrsf26,1.97E-22,1.80E-22,-2.53240524
Inpp4b,2.60E-22,1.61E-22,1.145866152
Cpd,2.71E-22,1.65E-22,4.180801194
Tmem108,2.92E-22,3.73E-22,-5.254878638
Fntb,3.20E-22,3.12E-22,-1.677493154
Apex1,3.71E-22,3.62E-22,-1.370573516
Spice1,4.22E-22,4.02E-22,-1.588322398
A630001G21Rik,5.26E-22,5.17E-22,-1.290726973
Nme4,5.32E-22,5.80E-22,-4.481872067
Myb,5.41E-22,5.16E-22,-5.511911393
Socs2,5.70E-22,5.64E-22,4.223820717
Gpr146,6.08E-22,5.57E-22,-2.123309473
Cd38,6.29E-22,4.93E-22,2.543406417
Ctla4,6.78E-22,5.87E-22,2.189559974
Tmlhe,6.88E-22,6.70E-22,-1.948909788
Klf2,7.81E-22,4.95E-22,-2.149899462
Chsy1,7.87E-22,9.14E-22,1.365171883
Ldlrap1,9.52E-22,6.04E-22,-1.375203025
B4galt5,1.09E-21,1.40E-21,2.148050507
Trpv2,2.26E-21,1.96E-21,1.365461052
Slc2a3,3.07E-21,2.93E-21,1.423497824
Smc4,3.25E-21,2.82E-21,-1.566436268
Acsbg1,3.39E-21,3.94E-21,1.557516834
Tmem171,4.25E-21,4.63E-21,4.780630349
Pld2,7.13E-21,6.95E-21,2.14865913
Ppm1n,8.39E-21,9.14E-21,2.384621955
Ext1,1.16E-20,1.13E-20,-1.07534419
Ntrk3,1.46E-20,1.44E-20,-2.014346355
Galnt9,1.52E-20,1.92E-20,-2.650405132
Aplp1,1.62E-20,1.58E-20,2.186159431
Gpr68,2.24E-20,2.13E-20,2.218012395
Car12,2.40E-20,2.62E-20,-2.945636655
Il2ra,2.63E-20,2.57E-20,3.438898986
Galnt10,2.77E-20,1.72E-20,-1.304883595
Isg20,3.12E-20,2.85E-20,2.216304032
Serpini1,3.95E-20,3.52E-20,-1.394780337
Glmn,5.25E-20,5.15E-20,1.323333461
Nek6,5.70E-20,5.60E-20,3.242753005
Srsf6,5.70E-20,4.95E-20,-0.847086298
Tcrg-C3,5.84E-20,5.78E-20,6.19732498
Usp33,5.84E-20,5.34E-20,-1.366963625
Actn1,6.02E-20,5.60E-20,-2.033098413
Fam110a,6.21E-20,6.12E-20,1.599512925
Fuca2,6.73E-20,8.68E-20,1.703468052
Gm19705,1.00E-19,9.92E-20,-3.769390183
Dennd2d,1.14E-19,7.07E-20,-1.435180566
Ctnna1,1.57E-19,1.44E-19,1.600876625
Gpr34,1.81E-19,1.79E-19,3.827241711
Endod1,1.94E-19,1.47E-19,1.628412966
Spryd3,1.99E-19,1.90E-19,0.984992022
Vsig10l,2.05E-19,2.61E-19,2.12192206
Qsox1,2.70E-19,2.04E-19,1.060036506
Klhdc1,2.92E-19,3.00E-19,-1.950537523
Fam129a,3.12E-19,1.98E-19,3.08914609
Pfkp,3.23E-19,2.00E-19,0.856282742
Tmc6,3.27E-19,2.84E-19,-0.67798085
Plp2,3.58E-19,3.49E-19,1.864967583
