"","pvalue","adj_pvalue","weight","weighted_pvalue","group","covariate","fold","log2FoldChange"
"Gm2a",0.225608693510271,0.834133948830905,1.04295095128194,0.216317644883457,"9",4735.9066693754,"5",0.0195052087726043
"Gm38376",0.22516250461458,1,0.231161573308397,0.974048157710825,"2",29.4900883459501,"4",-0.0289355518798749
"Pbx3",0.225518619874565,0.755224899667504,1.46147216400106,0.154309213291592,"3",107.357776725976,"2",-0.0270247381486906
"Rab11fip2",0.225046717262461,0.793041220841412,1.27181989474669,0.17694857439487,"4",231.287813523944,"3",0.0217198571719992
"Rad51",0.225429803101128,0.654354651920531,2.29843693809047,0.0980796120029353,"3",126.798490054508,"1",0.0280464749548387
"Rsf1",0.225243363364828,0.832297632011721,1.04683188032768,0.215166702120613,"7",1808.34896823259,"3",0.0158656070767843
"Sdcbp",0.225372516552875,0.926869232523583,0.603975485314252,0.373148450612382,"9",8943.51434386579,"4",-0.0149947143620109
"Tle6",0.225156343461334,1,0.243044014746729,0.926401514951787,"2",27.2349342031347,"1",-0.0315043460486691
"Ypel3",0.224987662075899,0.851551103668214,0.940907035775772,0.239117844294148,"9",7559.52430982864,"2",0.0185940188263402
"Zc3h13",0.224980844045908,0.832297632011721,1.04683188032768,0.214915927068904,"8",2699.94027789601,"3",0.0191001922461846
"Dcaf7",0.226082962118166,0.842008032155772,0.987497653217561,0.228945315851152,"9",5511.72238995901,"3",-0.0158847321798481
"Brpf1",0.226236255116391,0.834531724646832,1.04295095128194,0.216919362160141,"8",3919.44672286809,"5",-0.0111675737099348
"Camkk2",0.226367890999244,0.885023563314155,0.779202406519195,0.2905123099022,"6",811.971945739475,"1",-0.0187679957717908
"Abcf1",0.226689573049333,0.927415077498233,0.603975485314252,0.375329096232086,"9",5762.54832795874,"4",0.0130696921705446
"Gm31814",0.226591842860134,0.932157410057472,0.589659428901602,0.384275789979687,"1",11.3840784584662,"5",-0.0308288024987378
"Gm37906",0.226724590652152,0.942286690900076,0.54722357394843,0.414318025475852,"1",14.3320425991944,"2",0.0314423577505435
"Grk3",0.226628090268002,1,0.243044014746729,0.932456989340662,"2",23.0245700635285,"1",0.0300046406698427
"Rpl7a",0.226676749357235,0.99106797140436,0.426157514614546,0.531908370927733,"8",3487.28043732627,"1",0.0183021790779535
"Wee1",0.226468115818222,0.790004301319854,1.29055136442999,0.175481675553649,"5",405.608954698326,"2",-0.0228777468048106
"Ptgfrn",0.226893176800558,1,0.231161573308397,0.981535008406677,"2",38.3508365072018,"4",0.0278756050695455
"Gm37349",0.226960106046494,0.93254079712084,0.589659428901602,0.384900325378105,"1",11.7122917127882,"5",0.0307113773892302
"Ube2d3",0.227016707154973,0.836051386094866,1.04295095128194,0.21766767351421,"9",13455.9413309326,"5",-0.00934649740330972
"4930426L09Rik",0.227445391799943,0.916466342586616,0.653849882954857,0.347855674106844,"1",13.5688208039151,"1",-0.0292063737388038
"Amer1",0.227410485193511,0.65511857765824,2.29843693809047,0.098941363769781,"4",307.007511761607,"1",0.0241439186585808
"Gpbar1",0.227339186543389,0.942286690900076,0.54722357394843,0.415441142096728,"2",41.2731247561862,"2",0.0273843440624308
"Map3k7",0.227466181053529,0.836673283945129,1.04295095128194,0.218098637116097,"8",2371.27882609302,"5",-0.0151409304947665
"Usp39",0.227381114416727,0.83508499086817,1.04683188032768,0.217208817088711,"8",2198.89239991245,"3",-0.0113618960861634
