"","pvalue","adj_pvalue","weight","weighted_pvalue","group","covariate","fold","log2FoldChange"
"Galnt3",2.1829514944384e-60,1.10259628765813e-57,0.940550500274688,2.32092959793319e-60,"5",457.038486025809,"2",-7.78201224952137
"Car2",1.42248738925024e-59,6.73712863704414e-57,0.970705979902783,1.4654152943332e-59,"6",1068.60208864614,"4",-2.54913821038429
"Itga1",3.80420403423494e-58,1.16951927775416e-55,1.44871264969737,2.62592035420524e-58,"9",4129.82422552331,"4",-8.62714133953568
"A930005H10Rik",4.9328870278077e-58,2.194700882059e-55,0.970705979902783,5.08175197221071e-58,"5",420.580257199973,"4",2.9619518040402
"Nedd4l",1.00866827546603e-57,5.10057430243957e-55,0.828945884587829,1.21680835169061e-57,"6",1138.44145888083,"2",2.1945453897818
"Txk",9.66449265981104e-56,2.71646790127575e-53,1.44871264969737,6.67109013083435e-56,"8",3403.63483252872,"4",3.4480386098266
"Nbeal2",1.1323495783399e-54,2.70846370421758e-52,1.65512506482816,6.84147441424592e-55,"9",12079.7085606677,"1",-2.01467035967267
"Ppp2r2c",2.45665551823824e-54,8.73991005653395e-52,1.08270810690998,2.26899152464044e-54,"5",581.837564782206,"1",-8.02602870627627
"Rapgef4",5.2693917435547e-54,1.98373651817832e-51,0.970705979902783,5.4284117463482e-54,"5",665.549533722214,"4",4.53715026822468
"Ccl4",6.60868904227915e-54,1.49753409531689e-51,1.65512506482816,3.99286385223419e-54,"9",5722.58724193707,"1",-5.61708988773871
"Dtx1",8.69149729142566e-54,2.08590795160617e-51,1.48461991457984,5.85435855067687e-54,"9",4712.35220167842,"2",3.60299639793747
"Limd2",1.83807415882076e-53,4.95203999248647e-51,1.29024101381722,1.42459752800972e-53,"9",20154.9652153319,"3",1.57114499468083
"Trim13",2.99649649502063e-53,1.22663151223989e-50,0.828945884587829,3.61482763921381e-53,"6",1079.79378183194,"2",1.93123959119672
"Pde4a",9.39236804727175e-53,3.23456677210516e-50,0.940550500274688,9.98603269524466e-53,"5",491.915580358325,"2",-5.62684189287442
"Cmah",1.17775550727035e-52,2.77131438433844e-50,1.40856439351938,8.36138917531245e-53,"8",3489.3575065583,"5",3.25879105641961
"Gm43698",2.07409470043928e-51,6.98408896634413e-49,0.940550500274688,2.20519227817489e-51,"5",383.393582248796,"2",6.82344874178274
"Ggt1",5.08610152712526e-51,1.40547140591703e-48,1.12119458807818,4.53632365086889e-51,"7",1329.94936189919,"1",3.74170226673909
"Rasgrp2",6.06646466055006e-51,1.42574804499686e-48,1.29024101381722,4.70180733334637e-51,"9",4748.5465669049,"3",2.27939497380468
"Ccr5",2.16402227053895e-50,4.97995546785402e-48,1.29024101381722,1.67722328414954e-50,"8",2171.01669832577,"3",-4.74031858152903
"Pecam1",3.06614145221566e-50,6.1558732338921e-48,1.44871264969737,2.11645936332243e-50,"8",2458.45161300719,"4",3.13753170824263
"L1cam",3.35582811101077e-50,7.41369429834306e-48,1.29024101381722,2.60093120205693e-50,"8",2554.8260668474,"3",-3.99899928976367
"Trib2",1.20003842204095e-49,2.79964764256936e-47,1.19783614355067,1.00183854736905e-49,"8",3570.99429676713,"1",2.46790167423133
"Vipr1",1.76250147347143e-49,4.97638822433103e-47,0.970705979902783,1.81569034286566e-49,"7",1630.29334456483,"4",3.73117538340653
"Patj",3.24686723376185e-49,7.03744376424294e-47,1.24065073470077,2.61706791681782e-49,"7",1583.15364567049,"5",3.1829004481578
"Ier5l",4.3310361361985e-49,9.54281375311064e-47,1.19783614355067,3.61571669006437e-49,"8",2689.34181060614,"1",-3.46971946678028
"Mdfic",9.81542984351343e-49,2.98063516017623e-46,0.838085428418039,1.17117295095333e-48,"6",773.832622938938,"1",-4.14502876843869
"Ptger4",1.35030032406139e-48,2.41524528973964e-46,1.44871264969737,9.32069119672188e-49,"9",4636.07287857785,"4",-2.05474110685238
"Endod1",2.82806501359979e-48,5.69955317780751e-46,1.24065073470077,2.27950134111022e-48,"7",1410.65565536182,"5",-2.71952315281769
"Itsn1",3.32088960824299e-48,6.57737680175114e-46,1.24065073470077,2.67673206919426e-48,"7",1338.17652807283,"5",-5.30126330423664
"Il6st",5.48720969641927e-48,9.14941037066085e-46,1.44871264969737,3.78764532605241e-48,"9",5501.66323122755,"4",2.60641751247031
"Bambi-ps1",1.15897571026045e-47,2.22997650087306e-45,1.2345213664931,9.38805711846645e-48,"4",328.847549426996,"5",4.72073956849058
"Cd38",2.38617206237798e-47,5.74328053492402e-45,0.970705979902783,2.45818209816422e-47,"6",772.097628457373,"4",-3.95469791469704
"Lgals1",7.95521352785487e-47,1.26227422161581e-44,1.44871264969737,5.49122942325151e-47,"9",9025.48824693449,"4",-2.90773877851786
"Hmgn1",1.66187597361556e-46,3.08956285771703e-44,1.19783614355067,1.38739842052968e-46,"8",2549.21588091207,"1",2.79539540315362
"Zfp281",2.10233306174927e-46,2.66862883892685e-44,1.78216786891736,1.17964929029183e-46,"9",4206.14088913161,"5",1.69426626072978
"Pdk1",3.2693469835245e-46,4.02230374520017e-44,1.78216786891736,1.83447757113395e-46,"9",4683.60498828135,"5",2.55148349026406
"Il6ra",4.70287003408534e-45,9.05761511636293e-43,1.12119458807818,4.19451724445659e-45,"7",2098.90363736626,"1",4.27338977663061
"Plcd1",1.24737351667188e-44,2.45067737619575e-42,1.08270810690998,1.15208661384448e-44,"5",372.629711912763,"1",-6.41756081954134
"Rflnb",2.41792554396745e-44,3.87078280629813e-42,1.29024101381722,1.87401076083757e-44,"8",3139.41756701764,"3",3.96834933691971
"Pdcd1",2.70729829907735e-44,3.8219740106273e-42,1.48461991457984,1.82356323830099e-44,"9",6270.14702394271,"2",-5.09161532911848
"Ccdc92",3.67121892766198e-44,6.42417013135425e-42,1.16351242010835,3.15528984840582e-44,"7",1619.99297929174,"2",-1.72474657736537
"Runx2",4.59906216384913e-44,7.9209957319632e-42,1.14929844150156,4.0016256855273e-44,"7",1806.12907690903,"3",-4.52596044415983
"Cpm",5.28189851684108e-44,8.86282109347345e-42,1.16351242010835,4.53961507033091e-44,"7",1470.51438334151,"2",3.34095530340582
"Mapkapk3",5.7523798260708e-44,7.9209957319632e-42,1.44871264969737,3.97068378416688e-44,"9",7166.52814662096,"4",-2.55471369246927
"Slc25a24",6.86973179148794e-44,1.34942046339259e-41,0.980475133768806,7.00653341924305e-44,"6",1161.3666389276,"3",-3.44258551776414
"St14",4.8751812633404e-43,1.0841046337273e-40,0.843299394429178,5.78108000022977e-43,"6",745.597112473825,"5",-3.61420683349247
"Dkkl1",6.12644345388661e-43,1.36794091080837e-40,0.828945884587829,7.39064342774658e-43,"6",759.932648848617,"2",-6.1362681501872
"Mapre2",6.59414629905275e-43,8.44029928748434e-41,1.48461991457984,4.44163939490125e-43,"9",4399.5430336627,"2",-2.36395153562701
"Gng2",9.80555790213585e-43,1.49573999378785e-40,1.19783614355067,8.18605946642239e-43,"8",2581.66500966905,"1",-2.49845128860594
"Ppic",1.03142238139293e-42,1.89779234155432e-40,0.980475133768806,1.05196179471507e-42,"5",688.451946433616,"3",3.2149949263819
"Smad1",1.57223615785272e-42,2.8567157072594e-40,0.980475133768806,1.60354516264912e-42,"6",1140.03089224015,"3",2.10070283451535
"Rab8b",4.48821627271127e-42,5.31923636435196e-40,1.48461991457984,3.02314163284107e-42,"9",6408.51928307673,"2",-1.737255056799
"Ift80",6.56666265181075e-42,1.376830529719e-39,0.828945884587829,7.92170245838887e-42,"6",1072.96828963742,"2",2.26181075118765
"Osgin1",7.18085086833403e-42,1.42287117332879e-39,0.866578775263443,8.28643750956285e-42,"5",636.0370296758,"5",-4.46048894531262
"Asns",1.39123704956737e-41,2.84755081280886e-39,0.828945884587829,1.67832071481858e-41,"6",764.812240346559,"2",-5.19092964143945
"A630023P12Rik",1.48590643538701e-40,1.97173894159403e-38,1.2345213664931,1.2036295812425e-40,"4",269.169170337561,"5",3.93295681504879
"Chst12",1.69911394121013e-40,1.94364798959456e-38,1.44871264969737,1.17284400157965e-40,"8",2323.81044228086,"4",-2.43155678375751
"Igfbp4",1.70605900268878e-40,1.60510085236091e-38,1.78216786891736,9.5729422151752e-41,"9",6532.25017526097,"5",6.43070101230267
"Aplp1",1.94697961667561e-40,3.21188144740739e-38,0.970705979902783,2.00573567793473e-40,"5",557.160272633459,"4",-3.24539409823782
"Itgb1",2.1651224112063e-40,2.11857957692624e-38,1.65512506482816,1.30813221140548e-40,"9",35779.9921436804,"1",-3.45301429840428
"St6gal1",4.19299606983118e-40,5.77730029123577e-38,1.14929844150156,3.64830919317443e-40,"7",1491.30658762024,"3",4.83543315563751
"Ikzf3",8.70272096879685e-40,9.18066623209904e-38,1.48461991457984,5.8619185175485e-40,"9",4997.54803176621,"2",-1.82211664193787
"AA467197",1.09436263304884e-39,1.72907032841135e-37,0.980475133768806,1.11615541828406e-39,"5",416.459796721107,"3",-5.26379586481932
"1810041H14Rik",3.99227652416659e-39,5.33227071534068e-37,1.12320915145725,3.55434828766043e-39,"4",276.136251638233,"3",3.03027190450254
"Ikbke",4.34415202327902e-39,4.02223151522756e-37,1.65512506482816,2.62466693036881e-39,"9",6622.32105791811,"1",2.11319418986777
"Fasl",4.99743036820896e-39,4.25153836336041e-37,1.78216786891736,2.80412998986724e-39,"9",7265.35878519852,"5",-4.80868038118361
"Qpct",6.27068556497626e-39,9.49142452427478e-37,0.970705979902783,6.45992266948255e-39,"7",2089.4388481253,"4",-3.27839256217507
"Clic4",7.57948960072505e-39,7.76716068487445e-37,1.44871264969737,5.23187921518346e-39,"8",3102.40026713188,"4",-2.06304393180086
