"","pvalue","adj_pvalue","weight","weighted_pvalue","group","covariate","fold","log2FoldChange"
"Slc7a4",0.00136442161511564,0.0101016814850016,1,0.00136442161511564,"2",31.0697627477606,"3",-1.45087646832246
"Rplp0",0.00136521509875067,0.00834501113528843,1.267162035624,0.00107738005114585,"9",22325.7949629994,"5",-0.486424278165574
"Txnrd1",0.0013753655207225,0.0101721377277307,1,0.0013753655207225,"9",4510.79630790394,"3",0.338805950733472
"Nek4",0.0013814284676885,0.0102116797310666,1,0.0013814284676885,"3",83.1086027313539,"3",1.24458959207634
"Chrnb1",0.00138316630607109,0.0102192256060784,1,0.00138316630607109,"4",152.443804488398,"2",-0.55607245370354
"Aldh3a2",0.00139414052245569,0.00947540073828612,1.10714576536761,0.00125922039000238,"7",1985.94740357321,"5",0.497987134804055
"Cgrrf1",0.00139394599765855,0.0102752951979105,1,0.00139394599765855,"4",258.112700477025,"3",0.519613502107077
"Rsph3a",0.0013934696859421,0.00829352406191986,1.30354213523051,0.00106898706860418,"3",88.3791740209368,"5",0.678750282597539
"Mob1a",0.00139637229473919,0.00855911734491342,1.2575091256896,0.00111042716606406,"9",7129.6500054721,"1",0.416973259403635
"Rilpl1",0.00140024654887247,0.0103133404726255,1,0.00140024654887247,"3",50.884620159546,"4",1.31549363312134
"Gm11131",0.00140573112374706,0.010348388417171,1,0.00140573112374706,"4",289.553579243621,"2",-0.475071153115855
"Ankle2",0.00141033256971395,0.0103769023146945,1,0.00141033256971395,"8",2353.69203939376,"3",0.31512736825363
"Trav16n",0.0014203778123234,0.0104400333064637,1,0.0014203778123234,"4",257.280288805325,"3",0.636041515592646
"Cd55",0.00142874310026776,0.010479900496663,1,0.00142874310026776,"7",2022.89715195777,"4",-0.6308075374092
"Man2a2",0.00142855089440806,0.010479900496663,1,0.00142855089440806,"9",4244.43243916151,"4",-0.435986322738855
"Ccnc",0.00142964968967398,0.0122777112563128,0.827079888349012,0.00172855090519465,"6",806.088548279811,"5",0.459189760384127
"Vrk2",0.00143820121703759,0.00985231150232051,1.08526355317674,0.00132520917414738,"5",699.249947717361,"5",0.364028994859615
"Ube2d2a",0.00143948093403232,0.0105423855456468,1,0.00143948093403232,"6",1270.84741227711,"2",-0.368691518448833
"Kantr",0.0014433010377016,0.0105595104667984,1,0.0014433010377016,"4",327.981943737132,"4",0.654246159369439
"Itm2c",0.00144442823129399,0.00873896981174072,1.267162035624,0.00113989228740008,"9",4908.00357183669,"5",0.373140738857315
"Kcnk7",0.00144633903756068,0.010576307831357,1,0.00144633903756068,"3",76.5728770159629,"4",0.88995741616281
"Psen1",0.00145496911992389,0.0100901999327521,1.06868701799913,0.00136145484638523,"8",3721.8373958674,"1",0.290160816348453
"Cmtm4",0.00145623224338883,0.0106377354857906,1,0.00145623224338883,"3",52.3202679896226,"2",0.860842358261255
