"","pvalue","adj_pvalue","weight","weighted_pvalue","group","covariate","fold","log2FoldChange"
"Smim12",0.789451959537334,0.842469682998023,1.13554144414917,0.695220736860774,"6",773.103046862306,"5",0.0308667613617302
"Eif1b",0.78977582447034,0.909713493118184,1,0.78977582447034,"6",1015.90792317882,"4",0.0389334778677454
"Hspd1",0.789843787049543,0.870229348482944,1.07326726614623,0.735924603277642,"9",5368.326449526,"2",-0.0373016369993324
"Smim24",0.789953504671297,0.782342821604626,1.28602720331324,0.614258782890525,"3",77.3919908566572,"3",-0.0437285755685271
"Zfp869",0.78994523390271,0.870229348482944,1.07326726614623,0.736019124797461,"9",4524.92114643359,"2",0.0379888248023878
"Fam161b",0.790066477833505,1,0.577204183144052,1,"2",39.9736912822936,"2",0.0484526507523776
"Flvcr2",0.790092641365315,1,0.605808500065626,1,"2",38.0964259830245,"1",0.0471567568886242
"Gm28935",0.790161725074935,0.909896343942906,1,0.790161725074935,"3",108.921218326766,"4",0.0417845342718002
"Ndufaf8",0.790455466513926,0.909908029137911,1,0.790455466513926,"5",624.829909450807,"4",0.0360436782862252
"Zfp523",0.790418080314393,0.878375956095537,1.05749406264185,0.747444461616888,"5",519.755596859421,"3",-0.0343920148942429
"Clec4a3",0.790557547791611,0.77968228627107,1.29541758068266,0.610272362812152,"3",69.4944540121169,"1",0.0436987325667341
"Snhg10",0.790713544652215,1,0.552493977742658,1,"2",35.6097050408201,"5",-0.0457566347060482
"Tmem204",0.790935553857679,1,0.548602408534312,1,"2",28.7428173991505,"3",-0.0488428248597722
"Ndufb1-ps",0.791018046223753,0.878722741020014,1.05749406264185,0.748011808451783,"6",1016.12374495946,"3",0.0393684608237814
"1810012K16Rik",0.791171925370844,1,0.456046177201296,1,"1",16.3002554336997,"5",0.0487929452912747
"Ugt1a7c",0.791665427445388,1,0.548602408534312,1,"2",46.3215527421919,"3",-0.0471835012345827
"Cdk5r1",0.791846133253309,1,0.548602408534312,1,"2",45.5316430213568,"3",0.0475319064973964
"Wdr78",0.792088004355486,0.91126419869713,1,0.792088004355486,"4",189.641668029716,"4",0.0479488882775054
"Atp6v1f",0.79222991131085,0.890656731348128,1.03479766953837,0.765589191618756,"8",3097.54145962902,"1",-0.0285596217053582
"Gm43581",0.792351847549472,1,0.605808500065626,1,"2",28.1124932407269,"1",0.0485132567003224
"Map11",0.792313739083723,0.844514482980021,1.13554144414917,0.69774092629211,"6",833.047976993829,"5",0.0436455027352633
"Cdc42se2",0.792596562607835,0.884180851629053,1.04633614725804,0.75749706696539,"9",12719.0785791333,"3",0.0374834747055105
"Camkk2",0.792810603035461,0.911661829470824,1,0.792810603035461,"6",811.971945739475,"4",0.0357748705879374
"Psmg2",0.792782129211699,0.88003989138501,1.05749406264185,0.749679981399759,"6",938.934222008453,"3",-0.0319564016971601
"Hmga1",0.792863085109172,0.784173199637499,1.28602720331324,0.616521239260327,"4",311.457720868302,"3",0.0383218924263944
"Alg12",0.792988986907349,0.826452952614995,1.17938087512306,0.672377349534863,"5",369.191176754789,"2",0.0406891547588181
"Gm11973",0.79317958478566,1,0.548602408534312,1,"2",25.1659965381726,"3",0.0468462795077964
"Gm42067",0.793165553065826,1,0.632308344520129,1,"1",17.4928453435371,"2",0.0483284201856035
"Lmntd2",0.793095552490215,1,0.7704772307147,1,"4",171.758949704924,"1",0.0464807181818359
"Mcfd2",0.793309810679704,0.899621376212274,1.02168837995027,0.776469446308391,"6",869.112691620987,"2",-0.0387454727447173
"Stom",0.793264581562232,0.826466193730478,1.17938087512253,0.672611026933786,"4",137.750316864606,"2",0.0472915259385396
"Per2",0.793421844766099,0.845173645908355,1.13554144414917,0.698716765340597,"5",475.063588600453,"5",0.0426428594544226
"Trim45",0.793702381789668,1,0.548602408534312,1,"2",39.4378351691419,"3",-0.0467322545796287
"Ccnh",0.794102491024734,0.845563249557561,1.13554144414917,0.699316167733299,"6",980.53170705862,"5",0.0328194532723333
"Gprc5c",0.79403730716763,0.912630621109118,1,0.79403730716763,"1",11.7781509276015,"4",0.0472176202260219
"Inip",0.794165924538207,0.880683828291914,1.05749406264185,0.750988542246948,"6",1219.7012707442,"3",0.0309780604597533
"Rsad1",0.794148337831428,0.777234076048313,1.30860475776088,0.606866460725907,"3",102.651789710232,"2",-0.0468368686799366
"2210016F16Rik",0.794221021147991,0.880683828291914,1.05749406264185,0.751040643352507,"7",1778.00316570262,"3",0.0318259438880555
"Chst14",0.794288432685094,0.781492432465025,1.29541758068266,0.613152426313774,"3",70.5576836981259,"1",0.0476697780995594
"Eif2s3x",0.794504091177578,0.785375670838551,1.28602720331324,0.617797266753508,"4",260.454459499268,"3",-0.034210992649446
"Gm36738",0.794462837616776,0.772694374930861,1.32099846479545,0.601410871238063,"3",128.697509173857,"5",-0.0430863875496148
"Gm49359",0.794453237814702,1,0.548602408534312,1,"2",45.216938141424,"3",-0.0466380609661599
"Naa80",0.794538661719379,1,0.7704772307147,1,"4",252.646431655261,"1",0.0387735668320501
"Cacna1d",0.794692525455959,1,0.616442053114998,1,"1",15.9410639484931,"3",-0.0479318577879508
"Alox15",0.794843104746466,1,0.577204183144052,1,"2",20.3565400247116,"2",-0.0471531840187891
"Fgfr1op2",0.794973210841062,0.886469111370501,1.04633614725804,0.75976846726008,"9",5973.55644453341,"3",0.032705356230244
"Fgfr3",0.794940269482385,1,0.548602408534312,1,"2",29.5471496608131,"3",0.0477390790985446
"Gm39321",0.795124345168521,0.913716109463597,1,0.795124345168521,"2",20.3412270812996,"4",-0.047491291142937
"Mmp19",0.795143437033038,1,0.552493977742658,1,"2",47.4251252892831,"5",0.0429805766324054
"Mrpl52",0.795078580336056,0.737532059901856,1.42036273483403,0.559771501206668,"6",763.443420590019,"1",-0.0383742972062962
