,pvalue,weighted_pvalue,log2FoldChange
Rps20,4.37E-10,3.79E-10,-1.367706024
Gm16157,0.003985927,0.005946388,-1.36709611
Usp33,5.84E-20,5.34E-20,-1.366963625
Cd2ap,1.31E-18,1.29E-18,-1.363690366
Snhg15,1.81E-10,1.65E-10,-1.357886796
Bmf,0.000108608,0.000118324,-1.357320736
Trbv23,0.000413463,0.000450449,-1.356295599
Gm13546,0.002136237,0.003304191,-1.35254439
Trio,7.37E-06,7.30E-06,-1.352538612
Trav14-1,1.31E-06,1.67E-06,-1.351344963
Zfp296,0.000282192,0.000307435,-1.350825366
2810408I11Rik,0.000746122,0.002038639,-1.350678561
Ttc28,1.99E-07,1.98E-07,-1.345217166
Zscan12,6.90E-05,7.08E-05,-1.324683464
Prpf40b,1.28E-06,1.63E-06,-1.323485021
Pbk,0.004036296,0.01098153,-1.322797688
Macrod2,0.001172128,0.001748634,-1.319425451
Lypd6b,3.92E-09,3.83E-09,-1.31754338
Crlf3,2.23E-08,1.38E-08,-1.317526453
Rell2,9.79E-06,9.69E-06,-1.316151873
Efcab12,0.004708216,0.007282361,-1.315179836
C630043F03Rik,0.001241745,0.003392837,-1.31416781
Hipk2,7.56E-08,7.42E-08,-1.313301983
Trbv31,1.63E-05,1.77E-05,-1.312827687
Tube1,0.000279571,0.000276941,-1.312098076
Slc17a9,8.19E-19,7.49E-19,-1.30926716
Galnt10,2.77E-20,1.72E-20,-1.304883595
Fam240a,0.000322192,0.000880329,-1.297719698
Mgst2,6.96E-10,6.37E-10,-1.297599637
Gm8369,2.22E-10,2.06E-10,-1.293709261
Cul7,1.42E-05,1.46E-05,-1.293415205
C230085N15Rik,0.002966355,0.00275841,-1.292087667
A630001G21Rik,5.26E-22,5.17E-22,-1.290726973
Gm11725,0.003570319,0.005399728,-1.290594039
Sgk3,1.63E-07,1.28E-07,-1.286149046
Rpl35,1.47E-08,1.40E-08,-1.283893491
Gimap6,9.38E-18,5.79E-18,-1.283787651
Rps19,4.55E-12,2.81E-12,-1.2792723
Trbv13-2,6.92E-11,4.22E-11,-1.274287723
Npm3,7.51E-05,8.19E-05,-1.273434484
Carmil2,2.35E-12,1.44E-12,-1.272378395
Plekha1,6.17E-17,5.89E-17,-1.268878705
Plscr3,1.39E-06,1.38E-06,-1.26650136
Gm9844,3.36E-06,3.67E-06,-1.26480477
Tsacc,0.000571389,0.001561214,-1.258486964
Fbxo10,0.000169122,0.000214659,-1.255962195
Plcb2,1.07E-14,9.99E-15,-1.253542939
Aven,1.31E-10,1.20E-10,-1.252031099
Gm10638,1.60E-05,2.22E-05,-1.251913089
Rpl36a,3.83E-09,4.94E-09,-1.251849705
Trdc,1.40E-05,1.53E-05,-1.251565957
St3gal2,0.001132029,0.001233293,-1.247031589
Plekha6,8.10E-11,7.90E-11,-1.24628345
Scmh1,3.66E-07,3.57E-07,-1.236012039
Cks1b,0.000116318,0.000119359,-1.234335635
Arhgef10,4.40E-05,3.68E-05,-1.232100992
Slc22a17,0.000308061,0.000257858,-1.231522926
Rpl12,3.56E-08,3.39E-08,-1.230272815
Gm10069,0.002006498,0.002778833,-1.228739599
Rps18,4.79E-10,2.96E-10,-1.225825246
Trav6-7-dv9,0.000573598,0.000669237,-1.223213366
Ptov1,3.79E-05,3.74E-05,-1.221668425
Siah1a,1.37E-23,8.39E-24,-1.220784521
Bcl9l,1.40E-11,1.28E-11,-1.219563687
Bcl2l11,5.38E-10,5.12E-10,-1.210444006
E130317F20Rik,9.14E-05,9.05E-05,-1.210043024
Tnfrsf13b,6.02E-06,5.93E-06,-1.209537181
Rab5c,7.91E-05,7.71E-05,-1.207267385
Gm14303,0.0006832,0.001164227,-1.203475913
Plxna3,0.001397768,0.001522803,-1.202456512
Apobec2,0.001124204,0.001915731,-1.201894959
Cyp17a1,0.008364498,0.013755064,-1.201809226
Adamtsl4,0.000362306,0.000459859,-1.200737529
Rplp1,3.04E-08,2.64E-08,-1.200192979
Gm2682,2.75E-10,2.07E-10,-1.198455491
Traf5,1.40E-17,1.34E-17,-1.197245074
Sv2a,0.002434456,0.002411556,-1.194240345
Rnaset2a,0.000406957,0.000474811,-1.190521403
Rps10,8.85E-06,9.08E-06,-1.189971156
Oasl1,0.000184396,0.000182661,-1.189471283
Gm4332,3.61E-05,3.70E-05,-1.188590098
Klra7,0.003892777,0.004241,-1.186716768
Bend5,7.47E-07,7.40E-07,-1.186550076
Unc5cl,2.07E-09,2.05E-09,-1.186409875
Trbc1,2.33E-16,1.43E-16,-1.181746179
Tbxa2r,1.03E-08,1.33E-08,-1.180236563
Rpl13,7.52E-12,4.66E-12,-1.179897844
Ppp1r13b,8.17E-12,5.05E-12,-1.179676251
Prr7,0.00020199,0.000220059,-1.179437579
Rnf122,2.99E-09,3.26E-09,-1.177143761
Tpst1,5.15E-06,6.57E-06,-1.175288152
Cyp39a1,0.00101839,0.001188191,-1.172519996
Scml4,1.07E-17,1.02E-17,-1.170208907
Hectd2,0.00053751,0.000551561,-1.17016737
Trbj1-7,2.25E-05,1.89E-05,-1.167072045
Rpl32,1.77E-08,1.12E-08,-1.166332037
Clec2i,6.70E-15,5.25E-15,-1.164662158
Casz1,0.000193027,0.000210294,-1.160972952
Cd27,1.16E-07,1.00E-07,-1.160713634
Nhlrc1,0.000204628,0.000209978,-1.160610219
Irf1,1.50E-15,9.18E-16,-1.158670897
Rnaset2b,0.000101924,0.000173686,-1.157583974
Zfp661,2.45E-05,3.11E-05,-1.155570048
Rpl10a,2.55E-09,2.37E-09,-1.155257872
Trmt61a,3.32E-08,3.24E-08,-1.144026724
Trbj1-4,1.30E-06,1.65E-06,-1.141655521
AC140469.1,0.005227933,0.00779927,-1.139830229
1700018A23Rik,0.005569522,0.008614574,-1.138896276
Filip1l,8.39E-10,6.33E-10,-1.138463521
Rps7,2.02E-08,1.25E-08,-1.134224204
Ripor2,1.17E-15,1.02E-15,-1.133172267
Mob3b,3.57E-05,3.67E-05,-1.130615142
Maff,0.000287576,0.000283639,-1.126932097
B630019K06Rik,0.000446332,0.000373596,-1.12458631
Pmel,8.70E-05,8.62E-05,-1.123767112
Itih5,0.002113967,0.002303069,-1.116435481
Mettl8,1.81E-05,1.76E-05,-1.116297557
Grk6,9.25E-29,8.02E-29,-1.115001181
Slc49a4,1.48E-06,1.41E-06,-1.114939466
BC051226,0.00607892,0.009193721,-1.114252245
Cks2,6.41E-05,6.58E-05,-1.113077631
Borcs7,1.89E-06,2.40E-06,-1.111063433
Haao,8.20E-07,8.05E-07,-1.109702037
Ccna2,0.003325285,0.003412216,-1.109522858
Clcn2,2.22E-06,2.81E-06,-1.106626258
Cep57l1,7.75E-08,7.64E-08,-1.10583055
Tfrc,4.47E-08,4.09E-08,-1.105737396
Gm16150,0.010432286,0.017155452,-1.105644137
Armcx1,0.009295436,0.01584015,-1.104424581
Gm10076,6.11E-06,6.65E-06,-1.103803186
Armcx6,0.00460758,0.005375824,-1.100351829
Ptprn,0.007837739,0.011692698,-1.099217685
Kif23,5.99E-05,6.15E-05,-1.093226299
Ube2e2,0.008532737,0.014031724,-1.092682059
Dap3,1.18E-15,1.37E-15,-1.090870362
Tnfrsf22,1.40E-05,1.37E-05,-1.090085254
Sdhaf1,2.23E-08,2.43E-08,-1.088612662
Klhl3,8.39E-06,8.31E-06,-1.08737105
Bphl,6.58E-06,6.51E-06,-1.08632226
1810032O08Rik,5.53E-10,5.45E-10,-1.085594459
Gm12592,0.001702231,0.004651027,-1.084674264
2700081O15Rik,0.004602108,0.004558818,-1.083518239
Cd24a,0.010757672,0.010565267,-1.08339316
Rpl15,4.12E-12,4.78E-12,-1.079764442
Srm,1.68E-09,2.17E-09,-1.079536963
Fas,2.01E-12,1.96E-12,-1.079463401
Stmn1,0.001168197,0.001152203,-1.078143914
Ext1,1.16E-20,1.13E-20,-1.07534419
Adgrl1,5.72E-07,5.58E-07,-1.074307874
Degs2,0.003391821,0.00469739,-1.072534514
Jup,0.010092416,0.012809847,-1.072525287
Mir5136,0.006312822,0.009764261,-1.070694222
Thada,4.88E-11,4.65E-11,-1.066434612
Neb,0.003010235,0.00308893,-1.066283087
Rps6,2.18E-07,1.38E-07,-1.065242132
Shf,0.0018975,0.002067238,-1.065223362
Rps27a,7.23E-08,6.85E-08,-1.063766168
Ankrd6,0.011329514,0.030824155,-1.063054751
Trbv20,1.62E-07,1.60E-07,-1.061976921
Retreg1,1.43E-10,1.12E-10,-1.060402336
Rnf2,1.23E-13,1.43E-13,-1.059920797
Ppp1r14b,1.01E-16,9.85E-17,-1.059091314
Ttc27,2.88E-14,2.25E-14,-1.056885532
Tubb5,1.11E-06,6.87E-07,-1.055108754
Rps10-ps2,8.81E-05,9.60E-05,-1.053151312
Eef1b2,6.11E-09,5.79E-09,-1.050606978
Phpt1,7.88E-06,8.09E-06,-1.050266257
Klra1,0.011044524,0.012886032,-1.047461119
Rcsd1,2.87E-12,1.78E-12,-1.043907769
Etv5,0.003356712,0.003197642,-1.0436428
Rps2,1.06E-08,6.56E-09,-1.042987709
Eef1g,3.86E-08,3.66E-08,-1.042875488
Slc25a23,0.000156099,0.000170063,-1.042411206
Gzmm,0.002830654,0.002759706,-1.042185843
Rps16,4.33E-06,4.12E-06,-1.041692301
Thoc6,1.59E-06,1.57E-06,-1.040547463
F2rl1,9.20E-06,9.12E-06,-1.04018939
Trbv16,1.13E-07,1.08E-07,-1.039430134
Art3,0.000222096,0.000259127,-1.038169542
Icam2,3.03E-10,2.77E-10,-1.037750662
Rps29,2.41E-06,2.24E-06,-1.03754265
Gm45716,4.92E-05,6.24E-05,-1.035670008
Nsmce1,1.17E-08,1.50E-08,-1.034329281
Gm3511,3.52E-06,3.49E-06,-1.033718293
Slc25a33,2.46E-05,3.14E-05,-1.033053571
Col11a2,1.64E-05,2.09E-05,-1.032591596
Tfam,9.96E-11,9.50E-11,-1.031497179
Csnk1e,1.95E-05,1.79E-05,-1.030277559
Scrn2,2.16E-06,2.74E-06,-1.029768126
Steap3,0.009635998,0.011242656,-1.029688729
Ehd3,5.76E-14,3.57E-14,-1.02894147
Csrp1,2.25E-23,2.15E-23,-1.026236346
Dclk2,0.001103338,0.001092959,-1.025404168
Slc2a9,0.000264531,0.000221422,-1.022742648
Rplp0,1.92E-08,1.19E-08,-1.021324082
Lrrn4,0.01309567,0.019536719,-1.016001942
Racgap1,3.52E-06,2.18E-06,-1.011204027
Bpnt1,3.45E-09,3.16E-09,-1.009233672
Zswim6,2.78E-05,2.71E-05,-1.007789992
Smco4,0.001567341,0.001552598,-1.007652305
Eng,0.009975939,0.012716077,-1.007622583
Ipo4,9.29E-10,8.28E-10,-1.006977429
Spred1,5.24E-05,5.38E-05,-1.005557699
Trbv24,0.000339567,0.00028423,-1.005400159
Stx2,4.55E-07,4.16E-07,-1.003210391
Rps28,1.11E-06,1.02E-06,-1.003056851
Necab3,0.007956355,0.013083889,-1.001041066
Gm5963,0.007869316,0.012940757,-1.000621557
Rps15a,1.28E-05,1.49E-05,-0.999704649
Gm12319,0.00048477,0.000528135,-0.997180681
Pcsk4,0.000293565,0.00030124,-0.99704809
Als2cl,4.01E-10,2.55E-10,-0.996066737
Rps17,2.42E-07,2.30E-07,-0.994241362
Cd84,2.21E-10,2.02E-10,-0.993617139
Rwdd2b,1.36E-06,1.48E-06,-0.99211334
Timeless,1.27E-08,1.16E-08,-0.991738186
Trbj1-3,8.27E-06,1.05E-05,-0.990408328
Sptbn1,1.83E-07,1.12E-07,-0.989917698
Jag2,0.001067024,0.001162474,-0.985499888
Rps4x,1.42E-06,8.99E-07,-0.984985403
Camk4,0.000106231,0.000101331,-0.981830725
Lpin1,1.12E-08,1.04E-08,-0.981073103
Ccdc91,2.90E-05,2.82E-05,-0.980946093
Map4k4,5.42E-08,5.13E-08,-0.978637891
Ikzf2,0.009840942,0.009594288,-0.978150249
Gm15501,0.000970301,0.001343786,-0.97612159
Rpl39,2.04E-05,1.25E-05,-0.975986162
Gpatch4,5.81E-08,5.18E-08,-0.974754129
Ets2,5.92E-06,5.63E-06,-0.971487625
Gm26809,0.000189006,0.000240922,-0.970899818
Myc,3.76E-09,2.32E-09,-0.967329535
Kat2a,1.09E-12,1.01E-12,-0.965170401
Trbv17,2.41E-05,1.47E-05,-0.96435454
Slc15a1,0.014734826,0.025109297,-0.96430924
Abcg1,1.56E-09,2.02E-09,-0.961613665
Nudt14,4.15E-09,5.27E-09,-0.96152819
Klhl6,8.64E-08,5.36E-08,-0.960774676
Washc3,2.10E-08,1.65E-08,-0.957808379
Zfand3,1.61E-06,1.57E-06,-0.957373324
Cdca5,0.003900897,0.003716039,-0.957334572
Rpl9,4.65E-07,2.95E-07,-0.955702524
Gm45606,0.001379215,0.001415271,-0.954042583
Mettl9,1.92E-10,1.87E-10,-0.952195077
Gm45552,4.43E-06,5.14E-06,-0.949492225
Cyb5rl,2.53E-06,3.22E-06,-0.949462145
Man1a,1.80E-24,1.11E-24,-0.948721765
Tnfrsf14,0.000589125,0.000583583,-0.948132466
Msra,7.06E-10,7.25E-10,-0.947910536
Echdc1,0.001353461,0.001388843,-0.947631798
Armc3,0.000268957,0.000225127,-0.945570825
Mboat1,1.29E-06,1.32E-06,-0.945568105
Rgs12,0.004086406,0.00445195,-0.944103416
Ankrd13b,0.000286586,0.000365304,-0.943847494
Pym1,1.08E-07,1.11E-07,-0.943350149
D030028A08Rik,0.000760278,0.000828287,-0.943305767
Rps26,1.04E-05,1.21E-05,-0.940432789
4931428F04Rik,0.000144337,0.00014811,-0.937806923
Osbpl9,6.46E-09,4.01E-09,-0.937509731
Gramd3,0.000195577,0.000169565,-0.936948083
Gsta4,0.009639833,0.01642703,-0.935995417
Eif4a-ps4,0.000638477,0.00174452,-0.933165536
Rps24,3.02E-05,1.87E-05,-0.933133531
Fbxw10,0.012128661,0.03299839,-0.933128168
Rps23,1.81E-06,1.57E-06,-0.932571253
Rpl3,4.07E-07,2.51E-07,-0.932275158
Gm5864,0.006743145,0.010059732,-0.931382759
Atad3a,1.33E-10,1.27E-10,-0.930976425
Psmg1,7.12E-06,7.31E-06,-0.93031033
Tfpi,0.000108776,0.000103621,-0.930207617
Rpl29,1.71E-07,1.56E-07,-0.929782624
D1Ertd622e,1.25E-09,1.22E-09,-0.926632318
Sesn1,0.000194723,0.000185742,-0.926617876
Avpi1,2.29E-05,2.91E-05,-0.92604774
Krt10,3.62E-06,3.95E-06,-0.923078822
Bckdhb,3.44E-05,3.40E-05,-0.920338399
Gm2000,0.000482934,0.000460049,-0.919030514
Smad5,3.33E-05,3.29E-05,-0.91812069
Rps3a1,1.38E-06,8.48E-07,-0.916640539
Pus7l,2.99E-06,2.94E-06,-0.914863114
Galk1,8.41E-08,8.26E-08,-0.91357638
Mypopos,5.14E-06,5.60E-06,-0.913012789
Rpl17,4.61E-06,4.37E-06,-0.912722863
Rpl31-ps8,0.004416849,0.007526657,-0.912005184
Dph1,9.83E-07,1.01E-06,-0.911432646
Rps9,1.22E-07,7.52E-08,-0.911288446
Pdcd4,1.81E-08,1.12E-08,-0.90998423
Abhd11,9.03E-07,8.26E-07,-0.909191161
Sirt4,0.001325464,0.001444032,-0.908964693
Gm17191,0.006708448,0.010376189,-0.908963821
Gm44878,0.00719659,0.011131216,-0.908390332
1110008L16Rik,3.70E-05,4.69E-05,-0.907589376
Slc11a2,2.31E-08,2.68E-08,-0.905910525
Hdac7,5.62E-09,3.49E-09,-0.901580706
Nudt6,6.65E-06,8.48E-06,-0.899990643
Gmfg,1.50E-12,1.75E-12,-0.899066448
Hmgn2,2.31E-14,2.15E-14,-0.898664762
Wdr12,1.10E-07,8.59E-08,-0.897559466
Cdc20,0.000687621,0.000705597,-0.897388508
Rps27,9.16E-06,5.68E-06,-0.896843552
Gm10275,0.002429189,0.00203332,-0.896406203
Tcf12,5.06E-17,4.83E-17,-0.896181113
Mttp,0.001183943,0.001214894,-0.896059126
Mir6236,0.00027885,0.000265989,-0.895996442
Gm20705,0.013309032,0.020585542,-0.894184029
Jarid2,5.64E-08,4.89E-08,-0.893381901
Sbf2,0.001068538,0.001362038,-0.892907524
2610002M06Rik,1.97E-06,1.92E-06,-0.892313028
Tgif2,0.003631361,0.003039582,-0.888099195
Gm26517,0.00033944,0.000284123,-0.887339351
Rpl6,2.90E-06,2.51E-06,-0.886407912
Skp1a,4.82E-09,3.06E-09,-0.886032303
Trbd2,3.60E-06,3.92E-06,-0.885328091
Gnl3,6.32E-05,6.02E-05,-0.884977557
Pcdhgb4,0.014454588,0.021564016,-0.883989971
Asf1a,9.20E-11,5.61E-11,-0.883879278
I730030J21Rik,1.59E-05,1.63E-05,-0.883189263
AW011738,0.000283523,0.000359863,-0.883174581
Csnk2a1,3.85E-07,3.75E-07,-0.882334178
Trbj1-5,2.56E-05,2.54E-05,-0.880786345
Dnah8,1.42E-06,1.11E-06,-0.880218317
Polg2,0.000310245,0.000318355,-0.879190987
Trbj1-6,3.68E-05,3.65E-05,-0.879152719
Wdr46,3.25E-12,2.97E-12,-0.878226393
Ppa1,3.07E-05,2.40E-05,-0.875858761
Gm13436,0.002655091,0.004524482,-0.875363783
Rcl1,8.03E-11,1.04E-10,-0.873382623
Cyth1,2.47E-14,1.53E-14,-0.871829711
Lbh,3.54E-06,3.64E-06,-0.871201966
Sema4f,7.15E-05,9.22E-05,-0.870307878
Rpl31,4.65E-06,3.51E-06,-0.869751895
Asap1,4.09E-10,3.89E-10,-0.869747063
Snhg6,1.82E-05,1.86E-05,-0.868441797
Slc37a2,0.006989994,0.008872083,-0.867731254
Msrb2,0.001414666,0.001795572,-0.86750717
Snx4,1.18E-11,7.31E-12,-0.865529349
Map3k8,2.65E-06,1.61E-06,-0.86549692
Rpl22,8.80E-05,8.06E-05,-0.863961794
Mtap,4.67E-15,4.45E-15,-0.861352454
Klf7,4.27E-06,3.90E-06,-0.861192332
Zswim4,1.46E-05,1.10E-05,-0.861179863
Rpl10,3.96E-06,2.45E-06,-0.861107055
Uck2,1.61E-12,1.87E-12,-0.860666107
Rps19-ps6,0.001589326,0.001630875,-0.859653227
Gm33460,0.012573677,0.018757986,-0.859521524
Rasa3,1.33E-07,8.22E-08,-0.858206919
Atic,5.26E-06,4.69E-06,-0.85805842
Trbj1-2,7.65E-05,9.75E-05,-0.857808961
Pou2f2,8.77E-06,8.69E-06,-0.857584329
Rps14,5.92E-06,3.66E-06,-0.857357267
Rpsa,1.48E-05,9.15E-06,-0.856971188
Gm5805,0.007019414,0.019179237,-0.855234137
Dgkz,6.59E-11,4.09E-11,-0.855027389
Gm15706,0.003066908,0.003147084,-0.8546979
Selenop,0.000492335,0.000466716,-0.851090793
Tefm,0.000254733,0.000277519,-0.850378145
Hpcal1,9.47E-07,8.81E-07,-0.849929802
Kntc1,0.007366685,0.006166185,-0.849573332
A430078G23Rik,9.50E-08,9.07E-08,-0.849054365
Cdca3,0.002188231,0.002777423,-0.848701149
Tmem86a,0.00152409,0.001942718,-0.848574027
Eefsec,8.47E-23,1.09E-22,-0.848127156
Rrp15,6.71E-06,4.10E-06,-0.847976214
Srsf6,5.70E-20,4.95E-20,-0.847086298
Patz1,0.000589678,0.000760472,-0.846794035
Trbv13-1,6.02E-06,5.36E-06,-0.844887942
Nop16,3.57E-07,3.27E-07,-0.844782445
Rgs10,3.33E-06,3.05E-06,-0.843924057
Prps2,2.34E-07,2.14E-07,-0.84278878
Rps2-ps10,0.011738142,0.01767721,-0.84206558
Rps8,2.84E-05,1.76E-05,-0.841697073
Gstt2,3.41E-07,3.37E-07,-0.840949961
Mylip,7.59E-08,7.40E-08,-0.83961246
Gm26740,2.41E-05,2.15E-05,-0.839314764
Emb,4.69E-05,2.91E-05,-0.838570323
Gm34006,0.000275208,0.000282402,-0.837224133
E430018J23Rik,0.000116593,0.000148618,-0.835931263
Npm1,1.80E-06,1.56E-06,-0.835723606
Ypel2,0.009454061,0.011030384,-0.83479502
Cdkn1c,0.003093639,0.003064538,-0.834105799
Haus1,1.03E-06,1.01E-06,-0.831185266
Rpl8,1.43E-05,8.75E-06,-0.83064131
Evl,4.85E-12,3.01E-12,-0.829471803
Elf2,2.11E-05,2.00E-05,-0.82887531
Rps16-ps2,0.003366283,0.003206759,-0.828139553
Agpat3,2.98E-09,2.84E-09,-0.828112145
Rps15,2.33E-05,1.48E-05,-0.827697057
Snhg1,0.000318446,0.000291105,-0.826714679
Nop58,2.03E-07,1.93E-07,-0.826618926
Efcab2,0.001687036,0.001671167,-0.826577808
Dkc1,1.73E-08,1.65E-08,-0.826025515
2610306M01Rik,0.001652133,0.001573841,-0.824733438
Rpl11,4.54E-05,4.22E-05,-0.823787726
Rps12,0.00041289,0.000378004,-0.823421771
Tbl1x,3.37E-16,3.14E-16,-0.823220633
Gtf2i,1.97E-05,1.25E-05,-0.823165764
Grwd1,3.18E-09,4.11E-09,-0.82264907
Rtn4rl1,6.38E-05,3.89E-05,-0.821959811
Rps3,1.39E-05,8.51E-06,-0.82007966
Ube2r2,7.40E-11,7.04E-11,-0.819792757
Rpl41,4.49E-05,2.85E-05,-0.818846169
Wdr74,2.19E-12,2.00E-12,-0.817557681
Lrrc42,0.001591939,0.001576964,-0.817437748
Tspan5,3.48E-07,3.39E-07,-0.817294977
Plce1,0.011608101,0.031582106,-0.81720156
Snrpn,0.001701548,0.002899571,-0.815412598
Tnfaip8l1,3.72E-07,3.63E-07,-0.815343878
Rpl21-ps8,0.005917633,0.016168826,-0.814927318
Alkbh1,1.53E-06,1.16E-06,-0.814812718
Btf3l4,4.65E-08,5.07E-08,-0.814644957
Trmt1,5.12E-06,3.86E-06,-0.813276594
Emd,0.000176966,0.000138721,-0.812509961
Dyrk2,1.29E-05,1.20E-05,-0.812250486
Dnajb5,0.000407387,0.000397176,-0.812218793
Bdh1,1.22E-05,1.12E-05,-0.810639055
H2-T24,0.000651251,0.000709508,-0.810120415
Cux1,1.58E-05,1.47E-05,-0.808688067
Tmem71,0.000398205,0.000462411,-0.807775768
Gbe1,8.39E-07,8.31E-07,-0.807662011
Rps5,1.43E-05,1.24E-05,-0.806718264
Pcbp2,3.57E-06,2.69E-06,-0.806377219
Cenpt,2.06E-06,2.11E-06,-0.805221221
Gm43753,0.015920317,0.015165876,-0.804490023
2810004N23Rik,9.39E-09,8.37E-09,-0.804197996
Rps21,0.000480347,0.000619473,-0.80313572
Rpl27,3.18E-06,3.04E-06,-0.802781621
Ndufa4,7.58E-07,7.21E-07,-0.802149459
Rpl36,9.02E-05,8.58E-05,-0.80165468
Tsr1,1.52E-05,1.40E-05,-0.801062143
Mast4,0.000434524,0.000553877,-0.799639657
Gm15708,0.014347299,0.039201312,-0.799148452
Rere,2.03E-08,1.98E-08,-0.79851008
Plxdc2,0.009988768,0.010249898,-0.797951871
Cul9,0.000537907,0.000528287,-0.797319313
Tdrd5,0.023578641,0.022461284,-0.79567347
Suv39h1,1.01E-09,6.18E-10,-0.794621971
C130036L24Rik,0.000441052,0.000480505,-0.794610001
Mthfd1,3.59E-08,3.33E-08,-0.792985441
Zfp408,0.000181139,0.000177899,-0.792412938
Hsdl1,2.01E-06,1.24E-06,-0.792030341
Socs6,1.72E-06,1.05E-06,-0.791864
Rasgrf2,0.000844235,0.000706656,-0.790846136
Tespa1,0.001561273,0.001480033,-0.790600492
Eif4a1,1.44E-06,8.81E-07,-0.79007888
Gfod2,3.62E-06,4.61E-06,-0.789272532
Fgfr1op,5.99E-09,5.34E-09,-0.789081377
Sapcd2,0.013667571,0.023290612,-0.787964074
Acad10,0.000235187,0.000299787,-0.787283399
Gm3699,0.001789698,0.001836485,-0.786019102
Wdr4,4.86E-08,4.63E-08,-0.785179964
Insr,1.01E-05,1.29E-05,-0.782880949
P2rx4,2.71E-06,2.41E-06,-0.782297075
Gm11539,0.00132653,0.001314052,-0.781683014
Rpl35a,0.000123607,9.32E-05,-0.781250185
E030030I06Rik,0.000108655,0.0001385,-0.781035545
Enpp5,0.002753744,0.002623248,-0.780243959
Fhl4,0.015924229,0.023981304,-0.780232968
Tmco4,7.41E-10,6.78E-10,-0.780097631
Rnf138,0.000531868,0.000329885,-0.779679098
Trim12a,2.32E-10,2.21E-10,-0.779459429
Prmt3,7.60E-09,5.73E-09,-0.77846982
Smim8,1.38E-06,1.76E-06,-0.778173911
Shld1,8.47E-05,8.39E-05,-0.777566049
Dgcr6,0.00328294,0.004166887,-0.777303205
Gypc,4.35E-05,3.88E-05,-0.775153788
Snhg17,5.41E-06,4.24E-06,-0.774987203
Sun2,0.00140777,0.001286905,-0.772686985
Gm28731,0.004137584,0.003463309,-0.771991209
Cacna1a,0.000726578,0.000608173,-0.7716151
Pusl1,1.09E-07,1.12E-07,-0.77137425
Scd2,0.000628291,0.000599316,-0.771231289
Rgl2,8.66E-06,1.01E-05,-0.770527482
Gm15411,0.006376443,0.017422438,-0.770497894
Neto2,0.001197523,0.001186258,-0.769488235
Il1rl2,0.002213984,0.002271863,-0.769112502
Cbx2,0.008957844,0.009192023,-0.768410863
Rpl7,1.39E-05,1.20E-05,-0.768408861
Guca1b,0.003859256,0.003822953,-0.768100378
Gm47242,0.023664327,0.035637606,-0.766547873
Ung,0.003211446,0.00409355,-0.766409078
Fbl,3.43E-06,3.27E-06,-0.765372967
Nle1,8.61E-10,8.83E-10,-0.765171177
Mpp1,0.0001243,0.000113754,-0.764799802
Fam169b,6.15E-16,5.72E-16,-0.763980306
Gm10073,0.012975623,0.017970157,-0.763850937
H2afz,1.06E-10,9.22E-11,-0.7638087
Piga,1.94E-05,1.89E-05,-0.762535544
Galnt6,3.46E-18,2.14E-18,-0.76154941
Slc16a2,0.022954947,0.062453413,-0.761351904
Rpl27a,0.000314062,0.000287526,-0.76112723
Gm43305,4.28E-06,5.46E-06,-0.760755683
Rnf144a,0.000485738,0.000296364,-0.759964945
Rpl28,5.22E-05,3.94E-05,-0.758759869
Gm28935,0.000666523,0.000557904,-0.758746365
Lhpp,0.002377717,0.002590413,-0.758347928
Mylpf,0.000345699,0.000438781,-0.757453997
Ninj2,0.020529845,0.030917191,-0.756567444
Nthl1,0.001343609,0.0014638,-0.75635088
Gm4149,0.002445232,0.002422231,-0.75627601
Rplp2,0.000138847,0.00012038,-0.755777273
Pja1,1.81E-09,1.57E-09,-0.754892523
Palm3,0.001949164,0.00248455,-0.754699612
Gm39041,0.026101235,0.038939016,-0.753741608
Rps15a-ps6,0.007659795,0.020839968,-0.753634063
1700061G19Rik,0.011100938,0.015373875,-0.750916738
Eno3,1.97E-05,2.02E-05,-0.749506151
Gen1,0.017518657,0.020439629,-0.748437959
Cd4,0.0180723,0.017619335,-0.74833737
Tarbp1,8.25E-05,8.14E-05,-0.746996791
Gm15427,7.29E-05,7.16E-05,-0.746400441
Oas2,0.020796785,0.022657133,-0.745625046
Prr22,0.015001748,0.020776172,-0.744792295
Atp1b3,3.33E-05,2.11E-05,-0.743730172
Psme1,4.18E-08,2.56E-08,-0.741197128
Tbcel,6.34E-09,4.97E-09,-0.740770038
Stambpl1,8.54E-06,6.69E-06,-0.738419054
Mtx2,6.08E-07,5.97E-07,-0.738389763
5830428M24Rik,0.000477443,0.000520152,-0.737312026
Phf13,0.001187912,0.001158138,-0.736842542
Hsd11b1,4.77E-05,4.54E-05,-0.735151887
Rpl7a,1.63E-05,1.90E-05,-0.734440182
C030006K11Rik,1.03E-06,1.05E-06,-0.733082766
Tmem268,6.08E-06,3.71E-06,-0.733070542
Rpl37a,7.60E-05,4.69E-05,-0.732580061
Spred2,0.003102716,0.003938137,-0.73212958
Rpl14,1.75E-05,1.07E-05,-0.731380459
Gm43652,0.023049961,0.03486062,-0.730152672
St3gal3,9.61E-06,1.23E-05,-0.730088008
Tma16,0.000170444,0.00016811,-0.729924224
Ascc1,6.06E-08,5.91E-08,-0.728831326
