,pvalue,weighted_pvalue,log2FoldChange
Hes5,0.000178016,0.000275343,-3.325481762
Rnf32,5.82E-10,4.87E-10,-3.323659861
Vwce,0.000122637,0.000143085,-3.309356021
Tmem35a,0.00021102,0.000347013,-3.290598988
Slamf6,2.47E-33,2.87E-33,-3.279232918
Pde2a,9.40E-11,1.02E-10,-3.277492149
Cxxc5,5.15E-13,5.05E-13,-3.276658697
Pomgnt2,1.44E-06,3.92E-06,-3.274772328
Pkp4,6.96E-27,6.21E-27,-3.259088828
Prickle1,3.97E-08,5.04E-08,-3.209473211
Tnfsf8,2.10E-39,2.05E-39,-3.207180233
Nmnat2,4.13E-15,3.46E-15,-3.204068901
Ms4a4c,2.95E-25,2.88E-25,-3.200138984
Izumo1r,2.54E-12,2.50E-12,-3.192648624
Ctsf,8.93E-07,8.85E-07,-3.179110758
Id3,4.67E-35,3.66E-35,-3.161610843
Mgmt,5.25E-17,5.39E-17,-3.154835093
Ankrd55,4.51E-07,1.23E-06,-3.148029593
Gm49484,1.78E-05,2.68E-05,-3.133477621
Gm20033,2.24E-14,2.14E-14,-3.133377054
Smo,0.000283126,0.000269709,-3.125973777
Rapgef3,2.35E-05,1.97E-05,-3.12099163
Rflnb,4.53E-28,4.32E-28,-3.099390186
Akap2,1.08E-07,2.94E-07,-3.085667699
C230096K16Rik,7.88E-27,1.00E-26,-3.069567576
Kcnh2,1.20E-05,1.31E-05,-3.069334826
Dtx1,3.01E-39,1.84E-39,-3.046436593
Cmah,2.48E-46,2.37E-46,-3.042076464
Car11,6.69E-05,0.000182804,-3.038963413
Pgpep1l,0.00024649,0.000381255,-3.02354049
Zfp629,1.10E-06,1.52E-06,-3.014697011
Tlr1,2.74E-28,2.81E-28,-3.007076264
Gm13842,4.75E-17,4.71E-17,-3.006828612
1810041H14Rik,1.40E-38,1.78E-38,-3.002884781
D930028M14Rik,6.84E-10,1.87E-09,-2.993836909
Endou,0.000336107,0.000281334,-2.988957589
Zcchc12,0.000309647,0.000337346,-2.98461911
Adgrb2,1.69E-12,1.42E-12,-2.983958003
Klra6,8.76E-07,1.02E-06,-2.970253235
Itm2a,3.99E-07,2.46E-07,-2.968598554
Ppm1e,0.000192654,0.000291369,-2.967837646
Arl5c,6.18E-44,4.66E-44,-2.963268621
Plcb4,1.26E-05,1.06E-05,-2.954743565
Car12,2.40E-20,2.62E-20,-2.945636655
Satb1,1.57E-22,9.68E-23,-2.932194205
Srsf12,8.13E-11,7.74E-11,-2.9240114
Dlg4,3.78E-08,4.11E-08,-2.912809376
Sorcs2,0.000385857,0.000382228,-2.91259035
Ksr2,0.000363883,0.000550334,-2.911953955
Bcl9,5.34E-10,5.29E-10,-2.899389735
Gria3,3.39E-05,3.96E-05,-2.870180744
Grm6,6.09E-05,5.81E-05,-2.867676542
Plcl1,2.09E-07,2.07E-07,-2.863172129
Aff3,2.97E-53,2.65E-53,-2.860677124
Tnnt1,3.74E-09,3.71E-09,-2.859555314
Hmgn1,1.48E-48,1.41E-48,-2.855130849
Pecam1,4.43E-42,4.20E-42,-2.854119626
Iigp1,2.32E-10,2.30E-10,-2.845298198
Whrn,2.70E-18,3.44E-18,-2.842147643
Chil5,5.93E-12,6.47E-12,-2.838065533
Il17rb,0.000456119,0.000581403,-2.83386024
Ccnjl,0.000287228,0.000489459,-2.826656506
Gm42809,3.25E-06,3.10E-06,-2.826055094
Sidt1,1.02E-33,6.29E-34,-2.825755582
Chrna9,0.0002104,0.000208421,-2.800973036
Gm16565,4.86E-07,4.07E-07,-2.798037813
Patj,1.48E-38,1.91E-38,-2.795376759
4930417O13Rik,9.10E-07,9.91E-07,-2.778527035
1700062C10Rik,3.47E-05,9.47E-05,-2.776390674
Ccdc180,3.51E-05,9.56E-05,-2.772624487
Rmi2,6.48E-14,8.26E-14,-2.771590346
Fam110b,2.03E-05,3.47E-05,-2.769410378
Spaca1,1.20E-08,1.31E-08,-2.766101131
