"","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL"
"NDUFA4",9959.41890262417,-1.75380164170549,0.200928755262026,5.40807645282582e-19,3.75069121985532e-18,"NDUFA4"
"THSD7A",669.591049391534,-2.05121407068889,0.306224321838861,3.62537955055474e-12,1.71035055383635e-11,"THSD7A"
"VWDE",26.7801169249969,-1.08849952489479,0.568749123029708,0.0259268759372105,0.0445850950600549,"VWDE"
"SCIN",266.641064157332,-5.64508784677635,0.634266936463057,1.74461793216625e-20,1.29578923791587e-19,"SCIN"
"ARL4A",800.093617303699,-1.07376926673785,0.230129854833373,1.45816131001512e-06,4.3834041077682e-06,"ARL4A"
"ETV1",913.48357653448,-2.58523175980675,0.411478991282937,4.59336960233302e-11,2.00180505899414e-10,"ETV1"
"DGKB",2741.51868464682,-8.8702286595999,0.55566178143895,1.93318323607135e-58,5.75178648958846e-57,"DGKB"
"SOSTDC1",13.3118989798683,-1.31836276490846,0.742123748440584,0.0276655327965795,0.047358004926108,"SOSTDC1"
"ANKMY2",1294.45082003369,-1.12998551233446,0.18500670256942,4.44733468112167e-10,1.80325985799486e-09,"ANKMY2"
"BZW2",1362.83633682979,-1.02324806718676,0.28232048545852,0.000146357074653318,0.000354625496537509,"BZW2"
"TSPAN13",2941.17227867864,-1.44695694523679,0.450818871958312,0.000400152825683917,0.00091983221217081,"TSPAN13"
"HDAC9",1046.23697437964,-3.08181679659045,0.288992641656506,1.84379508096528e-27,1.86006197029096e-26,"HDAC9"
"TMEM196",184.831808071238,-6.93997212685626,3.09061255960303,0.000229536969252824,0.00054414121087969,"TMEM196"
"LOC101927811",24.1508202104673,-3.43069604347908,0.599330542233522,8.51592004331842e-10,3.38979012228616e-09,"LOC101927811"
"ITGB8",1175.72751955964,-5.16806487366495,0.360739503187692,4.65757829477316e-48,1.00072241119079e-46,"ITGB8"
"SP4",439.318941313666,-0.983658442761767,0.206734196390721,1.0413141092118e-06,3.17384123302881e-06,"SP4"
"RAPGEF5",4042.01540885543,-2.12151336348551,0.303244184363561,4.39076813967259e-13,2.19588859014125e-12,"RAPGEF5"
"LOC100506178",23.8512430348006,-4.08204410234982,0.77356325475763,6.47623593952663e-09,2.40155161111925e-08,"LOC100506178"
"TOMM7",6165.73053152502,-0.955986888598692,0.151735553292282,1.64168950774488e-10,6.88375367911688e-10,"TOMM7"
"KLHL7",1217.00127858247,-1.78483484141476,0.145449582024211,2.64057305509328e-35,3.66683405968673e-34,"KLHL7"
"AK3P3",15.2133487167516,-1.42971604671674,0.57950503921236,0.00428020585839744,0.00845632785732409,"AK3P3"
"GPNMB",7443.83397678194,-1.14372992507412,0.369253921497676,0.000847644221101898,0.00185966562139494,"GPNMB"
"RPS2P32",27.3765626661996,-1.77297571612086,0.374913274995159,4.71658392537656e-07,1.4829738127394e-06,"RPS2P32"
"STK31",74.6852792829626,-1.85232999625799,0.34574386888011,1.64510040101213e-08,5.90634856441628e-08,"STK31"
"NPY",1659.08678951903,-12.1301235285102,1.27801572886279,3.44452211784131e-23,2.89341757276733e-22,"NPY"
"MPP6",949.129997301818,-1.0742252164044,0.20869701117572,1.25350583342624e-07,4.15747466002583e-07,"MPP6"
"GSDME",550.95191963375,-1.28204523988376,0.307314778731072,1.09532462675728e-05,3.01783825315737e-05,"GSDME"
"OSBPL3",493.72925879098,-1.02838558201355,0.308494931831123,0.000429866826181916,0.000983904484507883,"OSBPL3"
"CYCS",4815.07918488102,-1.0845499433391,0.244289904071084,4.21803250654789e-06,1.21500232936555e-05,"CYCS"
"C7orf31",208.92147955103,-1.32924261907927,0.306531941250045,4.93637650030227e-06,1.41124690658449e-05,"C7orf31"
"LOC646588",28.8282747785752,-2.22291134469261,0.62319312660579,5.41051856925061e-05,0.000137931779139284,"LOC646588"
