"","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL"
"ENTR1",2354.3485829572,-1.70876967570522,0.168935540992233,6.99741976385734e-25,5.75568002012531e-24,"ENTR1"
"PMPCA",3949.16491291137,-2.03209150458018,0.138517698119757,1.43069157755129e-49,2.92542820760101e-48,"PMPCA"
"SEC16A",6589.58220890979,-0.878919971736484,0.155616474977709,8.14177098797266e-09,2.82298095698831e-08,"SEC16A"
"C9orf163",35.7218779824919,-4.50087824143287,0.42373358270406,7.82053976362965e-28,7.33133492241552e-27,"C9orf163"
"LINC01451",76.1004506095087,-5.2692712739723,0.453047644327245,2.58541079798042e-33,3.01915334542236e-32,"LINC01451"
"AGPAT2",12251.9175076467,-0.880123370370627,0.28300358537385,0.000916108227821245,0.00194977781187774,"AGPAT2"
"TMEM141",1839.9942874901,-2.80303149074162,0.137256775993822,1.94518057062041e-93,1.15976157426795e-91,"TMEM141"
"CCDC183",90.9900882911948,-0.641304763487341,0.181212971549951,0.000272353358510701,0.000619515437788974,"CCDC183"
"CCDC183-AS1",72.3377576831926,-0.606079267875103,0.179000857547149,0.00049937676539213,0.00109709488831858,"CCDC183-AS1"
"AJM1",1363.17726332568,-0.790457788730797,0.170120854541254,1.91371283135421e-06,5.45213099241339e-06,"AJM1"
"PHPT1",3114.16193902804,-1.58164979451068,0.155029507184181,3.16167359765769e-25,2.64633817307244e-24,"PHPT1"
"MAMDC4",3914.3827889153,-4.62889979863157,0.361432178547348,4.05165904518127e-39,5.89784501335584e-38,"MAMDC4"
"EDF1",8300.55917471466,-1.3771425081106,0.0866262025032857,1.39876934223522e-57,3.63310362744079e-56,"EDF1"
"TRAF2",918.402640980047,-0.640907577419702,0.144005649652305,5.85291056319338e-06,1.59285954559011e-05,"TRAF2"
"FBXW5",9225.64331232121,-1.73916394510357,0.145814715038015,1.23591824623991e-33,1.46519220390646e-32,"FBXW5"
"C8G",4991.64671389599,-9.52570427001569,0.263107279805395,7.51024437102893e-289,5.32127012214275e-286,"C8G"
"LCN12",722.394952209702,-7.34641777807832,0.317224730017469,1.73302108692576e-121,1.69732143406812e-119,"LCN12"
"PAXX",1361.74198728639,-1.35173619190698,0.117557685702344,2.98685051843911e-31,3.2269636434498e-30,"PAXX"
"ABCA2",15934.7445550541,-0.549900303707885,0.126926630657643,1.11088631582046e-05,2.94435923655834e-05,"ABCA2"
"DPP7",5235.63314697494,-0.580509354743883,0.102141268316136,9.67299390273421e-09,3.33718837316955e-08,"DPP7"
"SSNA1",1846.75880357337,-0.86713873072245,0.122917367790377,8.8746460414952e-13,4.0331718518233e-12,"SSNA1"
"TPRN",1252.71301446415,-2.04960471342183,0.315813481816899,1.15791619636048e-11,4.91888354078565e-11,"TPRN"
"TMEM203",1745.88862773036,-0.908752329142296,0.114090843206897,7.96274585661873e-16,4.29686464777901e-15,"TMEM203"
"RNF208",1064.17491099043,-2.11553945846082,0.153008393118545,2.59066402152002e-44,4.4694088756314e-43,"RNF208"
"CYSRT1",74.5659208680219,-1.8097998134792,0.199061631715317,1.37732591705945e-20,9.42776650529103e-20,"CYSRT1"
"FAM166A",72.4754476406072,-2.09264014932402,0.427100803935294,1.24582640636914e-07,3.94682261857632e-07,"FAM166A"
"STPG3-AS1",314.018941535031,-3.14270723228827,0.402178070396385,7.88930242883152e-16,4.25949631577547e-15,"STPG3-AS1"
"STPG3",81.9115155904686,-2.89471823936075,0.386022990897594,9.68901009120391e-15,4.93719803393058e-14,"STPG3"
"NOXA1",853.685389460685,-1.79893301830183,0.14738345752638,4.09842127607104e-35,5.12588674129952e-34,"NOXA1"
"ENTPD8",435.293543354667,-9.49061551937877,0.50574926594199,1.79455148071631e-80,8.14822652205422e-79,"ENTPD8"
"NSMF",8108.19869827438,-1.2345432837234,0.21630125516155,3.17168053900095e-09,1.13636047657088e-08,"NSMF"
"PNPLA7",2947.26290388987,-1.02472726658888,0.205446730186964,2.41927490864866e-07,7.47849519498769e-07,"PNPLA7"
"MRPL41",5012.61671674154,-1.4955141500497,0.237232419635001,5.37150123732434e-11,2.19404113416759e-10,"MRPL41"
"DPH7",1616.73997544189,-0.545386940875334,0.0890396368778646,6.87902283865618e-10,2.58585057156493e-09,"DPH7"
"ZMYND19",870.664739558448,-1.24254138750055,0.0952698175211267,1.89241806812802e-39,2.78937113118802e-38,"ZMYND19"
"ARRDC1",2728.39003800191,-1.35792303943647,0.147394346075077,7.0331901703789e-21,4.88332281041326e-20,"ARRDC1"
"ARRDC1-AS1",842.058098622379,-0.86464909273124,0.121735946015337,6.30031301445129e-13,2.8908379007724e-12,"ARRDC1-AS1"
"IDI1",4274.16746858,-2.05295488237122,0.234959439368937,3.3141510620808e-19,2.12797134685807e-18,"IDI1"
"WDR37",1463.16337464747,-0.637731447583759,0.103583492223499,5.11881815788409e-10,1.94409165814329e-09,"WDR37"
"AKR1C1",8883.24115854901,-0.89299773910581,0.295853640679825,0.00121868408324613,0.00255256757625875,"AKR1C1"
"AKR1C3",5396.20496224951,-0.87897236325704,0.297099856923758,0.00151189412607306,0.0031275718589807,"AKR1C3"
"AKR1C8P",291.033167785062,-5.66492079618082,0.402438435244935,2.52083603385093e-47,4.7851907441331e-46,"AKR1C8P"
"AKR1C4",3698.83092812845,-12.2338110858534,0.488742289316857,1.12108471077713e-139,1.47224516738133e-137,"AKR1C4"
"CALML3",44.6845170819478,-3.60239773520289,0.606659606208947,2.59334314835742e-10,1.00741279741178e-09,"CALML3"
"ASB13",2746.47829444677,-2.59595531218212,0.142170414811664,3.07444944061546e-75,1.21490598063854e-73,"ASB13"
"PRKCQ-AS1",208.554575783082,-1.73345362193542,0.226653340082632,2.99163658026289e-15,1.56770195546731e-14,"PRKCQ-AS1"
"LINC00707",26.9058369239572,-2.19386756588384,0.910371476388051,0.00187357031680043,0.00382587579369696,"LINC00707"
"ITIH2",12306.1603414581,-12.5688996264454,0.310698849055227,0,0,"ITIH2"
"KIN",776.808514172164,-0.605551030459339,0.104473821410489,4.84003856979473e-09,1.70930167040612e-08,"KIN"
"ATP5F1C",5882.06534204327,-0.672009036535141,0.114058182851245,2.52941046043452e-09,9.12967047720159e-09,"ATP5F1C"
"USP6NL",1156.4130258709,-0.877136393128436,0.153010337557019,4.9774849423908e-09,1.75621347701008e-08,"USP6NL"
"ECHDC3",3670.10099265096,-2.66061796462581,0.273916482393873,4.34467795855603e-23,3.32837071569843e-22,"ECHDC3"
"PROSER2",1038.78298186496,-4.1080800386988,0.277196892894964,6.88338331889209e-51,1.47687351814567e-49,"PROSER2"
"PROSER2-AS1",85.0044014058441,-4.36083140516286,0.332699907218055,1.26806814932252e-40,1.93752418783396e-39,"PROSER2-AS1"
"DHTKD1",6169.96827528563,-4.37721178262934,0.185887461584454,5.60933913069417e-124,5.65893163228011e-122,"DHTKD1"
"SEC61A2",979.264386592914,-1.43515054372732,0.132720063488048,5.81538348312977e-28,5.4802749328956e-27,"SEC61A2"
"NUDT5",2290.18797524048,-1.15637422700956,0.108249284319488,3.88347920111002e-27,3.54245391677303e-26,"NUDT5"
"PHYH",6021.68919834421,-3.05977147525136,0.160657850076644,1.24788647736942e-81,5.85814442311467e-80,"PHYH"
"SEPHS1",2471.08052641373,-0.82256474414105,0.0744600253054266,1.24549767791774e-28,1.20656845001971e-27,"SEPHS1"
"FAM107B",6109.50733941708,-1.17736378339536,0.152873146050122,4.09168072270027e-15,2.12841448827914e-14,"FAM107B"
"CDNF",199.864101600773,-1.08851276842552,0.237973259005298,1.70052476579969e-06,4.86660605294188e-06,"CDNF"
"MEIG1",12.4807808791541,-1.05707900113831,0.547972780324546,0.0203744997446672,0.035336135010006,"MEIG1"
"RPP38-DT",22.5782267236942,-1.39094716221163,0.58486587387772,0.00419750693754428,0.00815024178612974,"RPP38-DT"
"RPP38",320.865439318733,-0.574199804851048,0.130099370784501,7.47435297793597e-06,2.0132928349825e-05,"RPP38"
"STAM-AS1",41.5436617179703,-2.04992468958465,0.472167080309582,1.83451857897904e-06,5.23482977856648e-06,"STAM-AS1"
"CACNB2",860.149750181021,-1.61733914000426,0.346881530719374,5.21916606234307e-07,1.56216064860405e-06,"CACNB2"
"NSUN6",1583.29633858323,-2.85219318611115,0.174303088210778,6.2332322959609e-61,1.77152880933807e-59,"NSUN6"
"ARL5B",2389.77374833454,-0.766698607748757,0.322408186326732,0.00984119397882075,0.0180273964016794,"ARL5B"
"MIR1915HG",842.966356007392,-4.03568263513529,0.276514430131143,2.12779531870742e-49,4.32471914443354e-48,"MIR1915HG"
"SKIDA1",261.341458518041,-2.61202605411059,0.253772173181954,1.25353040559742e-25,1.070684352883e-24,"SKIDA1"
"DNAJC1",1084.44005838636,-0.523884811596513,0.166280532536968,0.00124330573432838,0.00260145565605267,"DNAJC1"
"COMMD3",1522.07403623043,-0.519120056468556,0.126318464925166,3.07358396560609e-05,7.78799756155362e-05,"COMMD3"
"MSRB2",1978.25414188522,-1.75764862163276,0.138285665419893,7.44256891847282e-38,1.0391968251105e-36,"MSRB2"
