"","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL"
"RAB6C",38.3182180333891,-2.82575849098141,0.580156758188369,1.27235753394919e-07,7.22195406566711e-07,"RAB6C"
"MZT2B",2070.33219598693,-1.02721356330427,0.15433613574739,1.07198456344259e-11,8.55088067101922e-11,"MZT2B"
"NOC2LP1",46.1992541553425,-1.24653660854158,0.460035359670694,0.00199954870623965,0.00676544836177536,"NOC2LP1"
"IMP4",1829.12647775195,-0.667902628777657,0.138628533459771,9.79439563535917e-07,5.06195942860334e-06,"IMP4"
"AMER3",175.165329656152,-9.38073520481318,0.740045138407996,1.13900898309339e-38,3.91869460053564e-37,"AMER3"
"ARHGEF4",3912.87589892621,-5.22678302171707,0.406770763666744,2.1674997107805e-39,7.72151761813127e-38,"ARHGEF4"
"FAM168B",8795.2446812249,-1.64282094861079,0.179211605992363,9.11816112625261e-21,1.32474247567709e-19,"FAM168B"
"PLEKHB2",5474.26148535337,-2.17993676355248,0.317869159717273,1.27845957777147e-12,1.0949307126031e-11,"PLEKHB2"
"RAB6D",12.2147716759512,-3.3162611664468,0.758674626389505,8.59915280719527e-07,4.4672066306415e-06,"RAB6D"
"MZT2A",1267.83388973341,-1.61044255259706,0.158955495721678,7.56000952799416e-25,1.35967988928526e-23,"MZT2A"
"CCDC74A",234.402381622761,-1.71523597177171,0.294824746067096,1.09085243203087e-09,7.45709567162828e-09,"CCDC74A"
"LYPD1",181.830863376538,-5.88873700546099,0.451325793545783,2.32007954348153e-40,8.64830268777678e-39,"LYPD1"
"NCKAP5",457.083492778627,-0.557821846974628,0.219001332596303,0.00809665702838054,0.024671173448665,"NCKAP5"
"MGAT5",2292.64516864472,-0.805841185104578,0.294153026138045,0.00336117774994608,0.0109448733388678,"MGAT5"
"TMEM163",182.616411895878,-1.96490370255612,0.424814795467849,6.27241459309222e-07,3.30583389311411e-06,"TMEM163"
"R3HDM1",1540.25181212405,-1.41438356228334,0.169335645166654,1.41706489453581e-17,1.69188428683007e-16,"R3HDM1"
"DARS1-AS1",42.0222627287408,-1.30041169982516,0.426642794844621,0.000627512308739552,0.00230175332411044,"DARS1-AS1"
"LRP1B",553.838751856797,-2.58759397716664,0.435206101216659,4.14578409540117e-10,2.92570440148757e-09,"LRP1B"
"GTDC1",1436.18328006223,-0.526190533355936,0.151495656867063,0.000403129817399435,0.00151807063332514,"GTDC1"
"ORC4",1246.89311972323,-0.555637296574717,0.0944110453732154,3.06393324242712e-09,2.014020440835e-08,"ORC4"
"KIF5C",8507.62519475975,-6.5899086991978,0.292809085625652,2.09940883451012e-113,7.28525072896373e-111,"KIF5C"
"LYPD6B",22.704304381005,-2.96176723224569,0.534350918859869,3.27670501537272e-09,2.14744383718075e-08,"LYPD6B"
"LYPD6",140.782695268222,-3.0529286793531,0.513598216732415,2.89994127452827e-10,2.06921105587088e-09,"LYPD6"
"NEB",533.229474368118,-1.79515008453479,0.46388250903847,1.91057640506781e-05,8.58309144998099e-05,"NEB"
"ARL5A",1880.15219387474,-0.592598255052205,0.200030327935876,0.00221146789874558,0.00742880103739766,"ARL5A"
"CACNB4",1561.32671387652,-3.82644758492092,0.396229812074239,2.15589476369769e-23,3.5932820983745e-22,"CACNB4"
"FMNL2",5519.54173628968,-1.53329075729132,0.249765473351567,1.6394937904815e-10,1.19277500729827e-09,"FMNL2"
"RPRM",40.5190423417597,-2.70119543559255,0.596638530923544,7.13523029604805e-07,3.73770453225323e-06,"RPRM"
"GALNT13",627.316793238773,-2.06339080175205,0.56876138627879,4.35626198616993e-05,0.000186843586077633,"GALNT13"
"KCNJ3",148.786773324734,-4.71252217824049,0.565366008865021,1.91789898244802e-18,2.42045676133909e-17,"KCNJ3"
"GPD2",1738.62449476531,-1.1522626092542,0.183565108285284,1.05823851790102e-10,7.83125727385022e-10,"GPD2"
"ERMN",6573.17997778908,-7.9879048699865,0.46560155249774,2.62920920049495e-67,2.47212291980261e-65,"ERMN"
"ACVR1C",1613.60272888579,-0.91820222933781,0.352399643221233,0.00425560294280887,0.0136047857864784,"ACVR1C"
"UPP2",88.3306068057305,-4.37356582943161,0.681238961789839,4.06567670848213e-12,3.35169912892899e-11,"UPP2"
"CCDC148",53.6198631291413,-1.64164002589679,0.33688062335996,2.07001659522483e-07,1.15031394551463e-06,"CCDC148"
"PKP4",10939.445231376,-2.1797450967402,0.15082203280602,5.12976521297748e-48,2.55613868851208e-46,"PKP4"
"PSMD14",1633.41322169131,-0.957017840961634,0.167422354846553,4.70049297705768e-09,3.04374115650929e-08,"PSMD14"
"SLC4A10",463.998688222236,-7.71267827865007,0.54821034809885,2.98277511595988e-46,1.3715362985541e-44,"SLC4A10"
"GRB14",2580.19301718727,-0.94601239776297,0.235966816590706,2.69238218095022e-05,0.000118567565505463,"GRB14"
"SLC38A11",368.923925255293,-1.99231333889476,0.367004429230773,9.84270867392457e-09,6.19067744017149e-08,"SLC38A11"
"SCN3A",559.333078938922,-2.29499847868072,0.398144464995228,1.37567255835125e-09,9.30653097504524e-09,"SCN3A"
